what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1401336730838
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1401336734275
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1401336734294
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1401336734350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336734711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336748832
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1401336748843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336751121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336757919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336762764
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1401336771416
started,bundle,org.eclipse.ant.core,3.2.302.v20120110-1739,"org.eclipse.ant.core",1401336771984
opened,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401336773939
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401336774155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401336774223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401336776489
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1401336777631
started,bundle,org.eclipse.equinox.p2.director.app,1.0.300.v20111126-0153,"org.eclipse.equinox.p2.director.app",1401336777787
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1401336777901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1401336777907
